PathwayName,Corr_deg_alpha
ADIPOCYTOKINE_SIGNALING_PATHWAY.csv,0.182970988177705
EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION.csv,0.0274142823864637
ERBB_SIGNALING_PATHWAY.csv,0.179676344306193
FC_EPSILON_RI_SIGNALING_PATHWAY.csv,0.228891868755808
FOXO_SIGNALING_PATHWAY.csv,0.207445671072628
GLUCAGON_SIGNALING_PATHWAY.csv,0.21410586558347
GNRH_SIGNALING_PATHWAY.csv,0.426678956411311
HEDGEHOG_SIGNALING_PATHWAY.csv,0.215434516071272
HIF-1_SIGNALING_PATHWAY.csv,0.203337554439384
MTOR_SIGNALING_PATHWAY.csv,0.354683912007507
NF-KAPPA_B_SIGNALING_PATHWAY.csv,0.0884648700292251
NOTCH_SIGNALING_PATHWAY.csv,0.310949368294132
P53_SIGNALING_PATHWAY.csv,0.522562276111987
PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM.csv,0.107897715700762
PPAR_SIGNALING_PATHWAY.csv,0.0438300783431397
RETROGRADE_ENDOCANNABINOID_SIGNALING.csv,0.231373012187952
RIG-I-LIKE_RECEPTOR_SIGNALING_PATHWAY.csv,0.222444729655101
SPHINGOLIPID_SIGNALING_PATHWAY.csv,0.34038385155443
T_CELL_RECEPTOR_SIGNALING_PATHWAY.csv,0.200567495691172
TGF-BETA_SIGNALING_PATHWAY.csv,0.171898592336443
VEGF_SIGNALING_PATHWAY.csv,0.071007087148792
